,Zipcode,Number of Providers,Percent Diabetes
0,10457,92,0.11
1,10460,2,0.11
2,10458,13,0.12
3,10467,229,0.12
4,10468,21,0.12
5,10451,48,0.16
6,10452,9,0.16
7,10459,6,0.17
8,10463,102,0.06
9,10466,19,0.12
10,10469,67,0.12
11,10475,56,0.12
12,10461,256,0.11
13,10462,33,0.11
14,10464,14,0.11
15,10465,3,0.11
16,10472,2,0.11
17,11212,59,0.12
18,11216,11,0.12
19,11238,50,0.12
20,11209,220,0.07
21,11214,111,0.07
22,11228,41,0.07
23,11204,50,0.08
24,11218,32,0.08
25,11219,155,0.08
26,11230,166,0.08
27,11234,200,0.09
28,11236,7,0.09
29,11239,21,0.09
30,11223,372,0.1
31,11224,33,0.1
32,11229,212,0.1
33,11235,342,0.1
34,11201,195,0.06
35,11205,17,0.06
36,11215,179,0.06
37,11217,68,0.06
38,11231,2,0.06
39,11203,168,0.1
40,11210,29,0.1
41,11225,5,0.1
42,11226,12,0.1
43,11207,19,0.16
44,11208,5,0.16
45,11211,9,0.08
46,11222,16,0.08
47,11220,65,0.09
48,11206,109,0.14
49,10026,7,0.12
50,10027,16,0.12
51,10030,10,0.12
52,10037,12,0.12
53,10001,5,0.06
54,10011,167,0.06
55,10018,1,0.06
56,10019,72,0.06
57,10020,1,0.06
58,10036,254,0.06
59,10029,167,0.13
60,10035,19,0.13
61,10010,92,0.02
62,10016,573,0.02
63,10017,91,0.02
64,10022,336,0.02
65,10013,281,0.05
66,10004,4,0.05
67,10007,16,0.05
68,10038,32,0.05
69,10280,1,0.05
70,10002,28,0.06
71,10003,797,0.06
72,10009,28,0.06
73,10021,1071,0.03
74,10028,158,0.03
75,10065,365,0.03
76,10075,158,0.03
77,10128,134,0.03
78,10023,97,0.05
79,10024,120,0.05
80,10025,48,0.05
81,10031,6,0.11
82,10032,462,0.11
83,10033,40,0.11
84,10034,11,0.11
85,10040,17,0.11
86,11361,98,0.08
87,11362,103,0.08
88,11364,28,0.08
89,11354,121,0.06
90,11355,239,0.06
91,11357,19,0.06
92,11358,37,0.06
93,11360,33,0.06
94,11365,53,0.07
95,11366,110,0.07
96,11367,12,0.07
97,11423,9,0.11
98,11432,90,0.11
99,11433,2,0.11
100,11434,9,0.11
101,11435,9,0.11
102,11101,18,0.08
103,11102,27,0.08
104,11103,97,0.08
105,11104,16,0.08
106,11105,16,0.08
107,11106,22,0.08
108,11374,44,0.06
109,11375,220,0.06
110,11385,56,0.06
111,11691,34,0.09
112,11693,2,0.09
113,11694,82,0.09
114,11004,11,0.11
115,11411,16,0.11
116,11427,18,0.11
117,11428,16,0.11
118,11429,9,0.11
119,11414,39,0.1
120,11415,26,0.1
121,11418,89,0.1
122,11419,35,0.1
123,11421,5,0.1
124,11368,21,0.08
125,11372,62,0.08
126,11373,90,0.08
127,11377,37,0.08
128,11378,6,0.08
129,10302,4,0.09
130,10306,82,0.05
131,10308,1,0.05
132,10312,194,0.05
133,10301,58,0.08
134,10304,57,0.08
135,10305,55,0.08
